x,y,z
0.750746,0.778553,-0.238701
0.752068,0.800755,-0.239548
0.547143,0.810533,-0.09993
0.603466,0.905847,-0.138067
0.752923,1.17064,-0.239235
0.755373,1.20708,-0.240816
0.75601,1.25337,-0.241137
0.746008,1.2594,-0.23431
0.692685,1.23411,-0.198048
0.250874,0.616841,0.101417
0.333199,1.07087,0.046437
0.254917,1.28526,0.100281
0.107159,1.20691,0.200744
-0.252022,1.20526,0.445411
-0.321729,1.26944,0.493051
-0.40293,1.27913,0.548388
-0.489804,0.648952,0.60604
-0.498103,-1.45674,0.598892
-0.124877,-2.24518,0.348289
0.770111,-1.28214,-0.245791
0.798715,-1.30679,-0.264911
0.587822,-0.830428,-0.123233
0.584765,-0.797086,-0.121116
0.551011,-0.71053,-0.098415
0.553589,-0.707752,-0.100126
0.754555,-0.456953,-0.233442
0.761711,-0.446752,-0.238186
0.765349,-0.346204,-0.240368
0.761006,-0.296035,-0.237354
0.756809,-0.247998,-0.234441
0.756884,-0.049419,-0.234014
0.760258,0.05093,-0.236021
0.760033,0.101507,-0.23575
0.759037,0.152548,-0.234963
0.756389,0.203995,-0.233075
0.762588,0.302155,-0.23697
0.762758,0.453273,-0.23672
0.460862,0.291752,-0.035933
0.759854,0.569747,-0.234505
0.614585,0.674413,-0.13745
0.553846,0.746419,-0.096802
0.556137,0.834277,-0.098118
0.638299,0.971657,-0.152539
0.705377,1.22618,-0.196625
0.483679,0.884914,-0.049712
0.401841,0.749231,0.004496
0.337895,1.14466,0.048058
-0.263001,1.18253,0.448569
-0.488589,0.912321,0.598245
-0.488467,0.801631,0.597898
-0.490357,0.797355,0.599148
-0.489923,0.703272,0.598632
-0.489427,0.660694,0.598199
-0.489632,0.649486,0.598309
-0.200603,-0.40296,0.399908
-0.412521,-1.1011,0.536354
-0.492686,-1.4484,0.58777
-0.51086,-1.9293,0.598467
-0.513372,-1.99668,0.599943
-0.523973,-2.2,0.606366
-0.509031,-2.2104,0.596604
-0.492856,-2.21583,0.586049
-0.354279,-2.20711,0.495756
-0.200281,-2.15997,0.395504
0.25269,-0.439088,0.1044
0.852609,-1.41477,-0.288911
0.558323,-0.406808,-0.094712
0.613458,0.634846,-0.128158
0.597677,0.628796,-0.117888
0.686436,0.856793,-0.17519
0.777667,0.991804,-0.234325
0.78077,1.00464,-0.236316
0.601698,0.808811,-0.120078
0.560811,0.85181,-0.093329
0.675584,1.04299,-0.167673
0.552777,0.992285,-0.087757
0.450706,0.808885,-0.021673
0.34675,0.818811,0.046102
0.253318,0.724928,0.10677
-0.109022,1.20151,0.344053
-0.496343,1.09619,0.596228
-0.499151,1.04802,0.597943
-0.494147,0.997862,0.594562
-0.494815,0.899494,0.594763
-0.269773,-0.398737,0.440707
-0.204985,-0.396131,0.399441
-0.204054,-0.617375,0.398323
-0.199504,-0.619689,0.395419
-0.524025,-1.77837,0.599402
-0.523328,-1.82542,0.598846
-0.523905,-1.87921,0.599086
-0.522642,-2.04714,0.597883
-0.524126,-2.08432,0.59874
-0.5209,-2.10433,0.596638
-0.523396,-2.18178,0.598044
-0.363173,-2.19339,0.49595
0.302634,-0.452979,0.075936
0.533898,-0.819491,-0.072255
0.711919,-1.05577,-0.186221
0.719671,-1.04858,-0.191142
0.801208,-0.434855,-0.241628
0.800178,-0.38604,-0.240856
0.801342,-0.344633,-0.2415
0.800518,-0.285788,-0.240835
0.806384,0.302584,-0.243177
0.712995,0.526962,-0.183153
0.805466,0.620689,-0.241838
0.657376,0.620721,-0.147499
0.624996,0.599595,-0.126922
0.598897,0.594228,-0.110309
0.732721,0.86447,-0.194919
0.785227,0.936516,-0.228196
0.800804,1.00705,-0.237951
0.79494,1.05348,-0.234106
0.644751,0.871382,-0.138862
0.555212,0.759304,-0.082089
0.503798,0.72369,-0.049421
0.498975,0.729424,-0.046336
0.739255,1.15867,-0.198383
0.616549,1.08407,-0.120393
0.381445,0.862202,0.02885
0.463033,1.06994,-0.022631
0.333335,0.997562,0.059819
-0.070424,1.26807,0.317667
-0.353341,1.27797,0.497918
-0.500735,1.23186,0.591703
-0.454917,-2.16905,0.547502
-0.315663,-2.25057,0.460638
-0.217705,-2.21237,0.399759
0.883637,-1.59327,-0.28426
0.573518,-0.885808,-0.089575
0.748368,-1.11483,-0.198941
0.752495,-1.11108,-0.201501
0.802727,-1.16631,-0.232896
0.501571,-0.406226,-0.043665
0.803815,-0.458467,-0.231905
0.810982,-0.248308,-0.235871
0.80936,-0.196426,-0.23474
0.81203,-0.146685,-0.236284
0.810762,-0.096954,-0.235378
0.808106,-0.047843,-0.233609
0.807963,0.053227,-0.233282
0.812169,0.102575,-0.235783
0.808256,0.151449,-0.233233
0.809628,0.20203,-0.233967
0.808634,0.253182,-0.233229
0.80801,0.407848,-0.232476
0.81048,0.458442,-0.233894
0.742666,0.470881,-0.191657
0.657485,0.5797,-0.138384
0.754192,0.832825,-0.197978
0.791261,0.882663,-0.220932
0.807981,0.909749,-0.231275
0.808155,0.950486,-0.231288
0.822029,1.05561,-0.239675
0.501034,0.755189,-0.040595
0.640425,1.00209,-0.12677
0.753807,1.26531,-0.19672
0.740565,1.25412,-0.188504
0.659504,1.13379,-0.138335
0.454413,0.783686,-0.011511
0.440463,0.987468,-0.002348
0.514324,1.2144,-0.047785
0.272496,0.653946,0.101409
0.353881,1.27599,0.05222
-0.204763,1.20846,0.399762
-0.5001,1.14559,0.583433
-0.500757,1.02558,0.583559
-0.149562,-0.406428,0.359112
-0.301109,-2.25196,0.446913
-0.134418,-2.18759,0.345738
-0.096603,-2.2479,0.322611
0.911304,-1.35667,-0.287972
0.921396,-1.34752,-0.294085
0.865617,-1.25265,-0.259957
0.842108,-1.20686,-0.245559
0.829568,0.354045,-0.234284
0.838004,0.503091,-0.239063
0.642148,0.527769,-0.119952
0.67173,0.679084,-0.137579
0.812839,0.848536,-0.222957
0.812183,0.85528,-0.222543
0.842796,1.11507,-0.240543
0.70545,0.970511,-0.157394
0.526436,0.81268,-0.048948
0.773448,1.24438,-0.198087
0.520662,0.873465,-0.045295
0.505363,1.12199,-0.035414
0.553083,1.2462,-0.064131
0.470993,1.11376,-0.014541
0.343562,0.806885,0.062201
0.300201,0.882134,0.088734
0.276247,0.888793,0.103311
-0.500731,1.26864,0.576495
-0.500334,0.978201,0.575574
-0.500968,0.915833,0.575814
-0.304431,-0.403064,0.448838
-0.308442,-2.22763,0.446977
0.850333,-1.19066,-0.239253
0.852953,-0.43003,-0.239041
0.855134,-0.396118,-0.240258
0.857912,-0.348698,-0.241799
0.853818,-0.299989,-0.239252
0.850475,-0.239769,-0.237126
0.862572,-0.185067,-0.244187
0.851567,-0.100795,-0.237452
0.851087,-0.096481,-0.237156
0.850907,-0.045646,-0.236931
0.850764,0.051257,-0.23662
0.857243,0.107178,-0.240341
0.851059,0.153537,-0.236558
0.852235,0.201696,-0.237145
0.855356,0.278822,-0.23882
0.855382,0.306522,-0.238771
0.854449,0.353326,-0.238108
0.858393,0.491313,-0.24013
0.855094,0.505395,-0.238137
0.563065,0.409481,-0.064812
0.663644,0.490167,-0.124396
0.805165,0.772132,-0.207844
0.8536,0.902985,-0.236324
0.861131,0.951796,-0.240686
0.860876,1.01138,-0.240396
0.856911,1.05152,-0.237946
0.860209,1.11268,-0.239764
0.854645,1.15513,-0.236359
0.839391,1.15427,-0.227296
0.623389,0.864693,-0.099603
0.608284,0.965764,-0.09039
0.568541,0.934506,-0.066845
0.568688,1.26224,-0.06617
0.501205,1.18253,-0.026251
0.364757,0.855842,0.054078
0.284515,0.828643,0.101702
0.20202,1.28621,0.151792
-0.201506,1.19692,0.391394
-0.500163,0.88302,0.568151
-0.500807,0.821098,0.56839
-0.180142,-0.504187,0.371817
-0.215585,-0.599862,0.392143
